68,0.333333333,19.99999998,2.31," Naturally infected pig liver, homogenised with added ""spices"", nitrite salt (2%, containing 99.4% NaCl and 0.5% NaNO2 E250), dextrose (0.5%) and sodium caseinate (2%)",Genotype 3 subtype 3e; genome equivalents measured by RT-PCR,8,Liver,FALSE,NA,,KEEP
71,0.083333333,4.99999998,2.93," Naturally infected pig liver, homogenised with added ""spices"", nitrite salt (2%, containing 99.4% NaCl and 0.5% NaNO2 E250), dextrose (0.5%) and sodium caseinate (2%)",Genotype 3 subtype 3e; genome equivalents measured by RT-PCR,8,Liver,FALSE,NA,,KEEP
71,0.166666667,10.00000002,2.58," Naturally infected pig liver, homogenised with added ""spices"", nitrite salt (2%, containing 99.4% NaCl and 0.5% NaNO2 E250), dextrose (0.5%) and sodium caseinate (2%)",Genotype 3 subtype 3e; genome equivalents measured by RT-PCR,8,Liver,FALSE,NA,,KEEP
71,0.333333333,19.99999998,2.69," Naturally infected pig liver, homogenised with added ""spices"", nitrite salt (2%, containing 99.4% NaCl and 0.5% NaNO2 E250), dextrose (0.5%) and sodium caseinate (2%)",Genotype 3 subtype 3e; genome equivalents measured by RT-PCR,8,Liver,FALSE,NA,,KEEP
56,0.25,15,1,"Naturally infected wild boar liver, in PBS pH7.4",Genotype 3i; genome equivalents measured using a capsid integrity / RT-PCR assay,8.76,Liver,FALSE,NA,,KEEP
56,0.5,30,4,"Naturally infected wild boar liver, in PBS pH7.4",Genotype 3i; genome equivalents measured using a capsid integrity / RT-PCR assay,8.76,Liver,FALSE,NA,,KEEP
56,1,60,3,"Naturally infected wild boar liver, in PBS pH7.4",Genotype 3i; genome equivalents measured using a capsid integrity / RT-PCR assay,8.76,Liver,FALSE,NA,,KEEP
60,1,60,3.22,"Naturally infected wild boar liver, in PBS pH7.4",Genotype 3i; genome equivalents measured using a capsid integrity / RT-PCR assay,8.76,Liver,FALSE,NA,,KEEP
70,0.016666667,1.00000002,0.48,"Naturally infected wild boar liver, in PBS pH7.4",Genotype 3i; genome equivalents measured using a capsid integrity / RT-PCR assay,8.76,Liver,FALSE,NA,,KEEP
75,0.016666667,1.00000002,0.72,"Naturally infected wild boar liver, in PBS pH7.4",Genotype 3i; genome equivalents measured using a capsid integrity / RT-PCR assay,8.76,Liver,FALSE,NA,,KEEP
80,0.016666667,1.00000002,2.47,"Naturally infected wild boar liver, in PBS pH7.4",Genotype 3i; genome equivalents measured using a capsid integrity / RT-PCR assay,8.76,Liver,FALSE,NA,,EXCLUDE
85,0.016666667,1.00000002,2.58,"Naturally infected wild boar liver, in PBS pH7.4",Genotype 3i; genome equivalents measured using a capsid integrity / RT-PCR assay,8.76,Liver,FALSE,NA,,EXCLUDE
90,0.016666667,1.00000002,3.58,"Naturally infected wild boar liver, in PBS pH7.4",Genotype 3i; genome equivalents measured using a capsid integrity / RT-PCR assay,8.76,Liver,FALSE,NA,,EXCLUDE
95,0.016666667,1.00000002,3.67,"Naturally infected wild boar liver, in PBS pH7.4",Genotype 3i; genome equivalents measured using a capsid integrity / RT-PCR assay,8.76,Liver,FALSE,NA,,EXCLUDE
60,0.25,15,1,"PBS containing 2 M NaNO3, 1% beef extract, and 0.1% Triton X-100",Genotype 3f; genome equivalents measured by a capsid integrity / RT-PCR assay,6.7,Cell,FALSE,NA,,KEEP
72,0.25,15,2,"PBS containing 2 M NaNO3, 1% beef extract, and 0.1% Triton X-100",Genotype 3f; genome equivalents measured by a capsid integrity / RT-PCR assay,6.7,Cell,FALSE,NA,,KEEP
95,0.25,15,2,"PBS containing 2 M NaNO3, 1% beef extract, and 0.1% Triton X-100",Genotype 3f; genome equivalents measured by a capsid integrity / RT-PCR assay,6.7,Cell,FALSE,NA,,KEEP
58,1,60,3.7,PBS pH7.5,Isolate from pigs liver (genotype not stated); infectivity assayed by calculation of the 50 % tissue culture infectious dose (TCID50),4.5,Liver,FALSE,NA,,KEEP
58,3,180,3.1,12.5% human serum albumin,Isolate from pigs liver (genotype not stated); infectivity assayed by calculation of the 50 % tissue culture infectious dose (TCID50),4.5,Liver,FALSE,NA,,KEEP
